название;цена;наличие;фотки
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 128GB SSD NVidia MX130 2GB FHD DOS серый;73250 сом;На складе;https://www.kivano.kg/images/product/102144/1641269908_22552500.jpg
Ноутбук Asus X509JA Intel Core i3-1005G1 20GB DDR4 256GB SSD FHD DOS Grey;64040 сом;На складе;https://www.kivano.kg/images/product/90625/1617333009_01636100.png
Ноутбук Asus TUF Dash F15 FX516PE Intel Core  i7-11370H 16GB DDR4 512GB SSD Nvidia RTX3050Ti 4GB FHD DOS серый;145090 сом;На складе;https://www.kivano.kg/images/product/94465/1623993247_50916100.png
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 128GB SSD NVidia MX330 2GB FHD DOS серый;73790 сом;На складе;https://www.kivano.kg/images/product/102145/1641270001_36821200.jpg
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD + 128GB SSD NVidia MX130 2GB FHD DOS серый;77580 сом;На складе;https://www.kivano.kg/images/product/102146/1641270096_46332400.jpg
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD + 128GB SSD NVidia MX330 2GB FHD DOS серый;78120 сом;На складе;https://www.kivano.kg/images/product/102147/1641270173_94246400.jpg
Ноутбук Lenovo Yoga Slim 7 15ITL05 Core i7-1165G7 16GB DDR 128GB SSD Intel Iris Xe Graphics FHD DOS серый;115410 сом;На складе;https://www.kivano.kg/images/product/102659/1642586619_67085600.jpg
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD + 256GB SSD NVidia MX130 2GB FHD DOS серый;79740 сом;На складе;https://www.kivano.kg/images/product/102148/1641270288_05568500.jpg
Ноутбук Lenovo Yoga Slim 7 15ITL05 Core i7-1165G7 16GB DDR 256GB SSD Intel Iris Xe Graphics FHD DOS серый;116490 сом;На складе;https://www.kivano.kg/images/product/102660/1642586710_07352400.jpg
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD + 256GB SSD NVidia MX330 2GB FHD DOS серый;80280 сом;На складе;https://www.kivano.kg/images/product/102149/1641270382_24545500.jpg
Ноутбук Lenovo Yoga Slim 7 15ITL05 Core i7-1165G7 8GB DDR 512GB SSD Intel Iris Xe Graphics FHD DOS серый;114330 сом;На складе;https://www.kivano.kg/images/product/102661/1642586802_49262600.jpg
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD + 512GB SSD NVidia MX130 2GB FHD DOS серый;84080 сом;На складе;https://www.kivano.kg/images/product/102150/1641270474_97850900.jpg
Ноутбук Lenovo Yoga Slim 7 15ITL05 Core i7-1165G7 8GB DDR 256GB SSD Intel Iris Xe Graphics FHD DOS серый;111090 сом;На складе;https://www.kivano.kg/images/product/102662/1642586891_89649300.jpg
Ноутбук Asus X515MA Intel Celeron N4120 8GB DDR4 240GB SSD W10 Grey;45370 сом;На складе;https://www.kivano.kg/images/product/92679/1621497953_77010600.png
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD + 512GB SSD NVidia MX330 2GB FHD DOS серый;84610 сом;На складе;https://www.kivano.kg/images/product/102151/1641270567_61666300.jpg
Ноутбук Lenovo Yoga Slim 7 15ITL05 Core i7-1165G7 8GB DDR 128GB SSD Intel Iris Xe Graphics FHD DOS серый;110010 сом;На складе;https://www.kivano.kg/images/product/102663/1642586975_45292900.jpg
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD NVidia MX130 2GB FHD DOS серый;73250 сом;На складе;https://www.kivano.kg/images/product/102152/1641272057_13887600.jpg
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 1000GB HDD NVidia MX330 2GB FHD DOS серый;73790 сом;На складе;https://www.kivano.kg/images/product/102153/1641272134_01449300.jpg
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 256GB SSD NVidia MX130 2GB FHD DOS серый;74330 сом;На складе;https://www.kivano.kg/images/product/102154/1641272237_54831700.jpg
Ноутбук Lenovo Ideapad 3 Intel Core i5-10210U 8GB DDR 256GB SSD NVidia MX330 2GB FHD DOS серый;74880 сом;На складе;https://www.kivano.kg/images/product/102155/1641272323_33397000.jpg
